Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Lalqila ,Lower Dir,,KPK,"24,099","9,465","14,633","24,099","9,465","14,633",0,0,0," 84,501 ","43,477","41,023","84,501","43,477","41,023",0,0,0,28.52%,21.77%,35.67%,28.52%,21.77%,35.67%,0.00%,0.00%,0.00%,156,112,179,112,93,133,1,1,1,3,3,3,3,3,3,1,1,1,53.29,71.47,38.23,53.29,71.47,38.23,-,-,-,"24,099",232
Samarbagh ,Lower Dir,,KPK,"56,447","21,402","35,043","56,447","21,402","35,043",0,0,0," 146,427 ","75,808","70,615","146,427","75,808","70,615",0,0,0,38.55%,28.23%,49.63%,38.55%,28.23%,49.63%,0.00%,0.00%,0.00%,226,203,265,183,167,210,1,1,1,4,4,4,4,4,4,1,1,1,45.75,63.07,29.54,45.75,63.07,29.54,-,-,-,"56,447",434
Timergara ,Lower Dir,,KPK,"41,044","16,929","24,113","38,167","15,313","22,852","2,877","1,616","1,261"," 196,853 ","101,779","95,069","181,171","93,631","87,536","15,682","8,148","7,533",20.85%,16.63%,25.36%,21.07%,16.35%,26.11%,18.35%,19.83%,16.74%,73,44,110,62,46,83,86,116,69,1,1,1,1,1,1,4,4,4,64.06,78.4,50.91,63.4,78.2,49.97,71.35,80.51,61.88,"41,044",366
Bankad ,Lower Kohistan,,KPK,"57,876","27,592","30,281","57,876","27,592","30,281",0,0,0," 69,690 ","36,202","33,485","69,690","36,202","33,485",0,0,0,83.05%,76.22%,90.43%,83.05%,76.22%,90.43%,0.00%,0.00%,0.00%,574,567,575,535,527,535,1,1,1,2,2,2,2,2,2,1,1,1,20.14,29.33,10.66,20.14,29.33,10.66,-,-,-,"57,876",440
Pattan,Lower Kohistan,,KPK,"32,681","14,339","18,341","32,681","14,339","18,341",0,0,0," 44,407 ","22,861","21,545","44,407","22,861","21,545",0,0,0,73.59%,62.72%,85.13%,73.59%,62.72%,85.13%,0.00%,0.00%,0.00%,536,510,548,491,458,506,1,1,1,1,1,1,1,1,1,1,1,1,24.61,38.63,9.86,24.61,38.63,9.86,-,-,-,"32,681",301
Sam Rani Zai ,Malakand ,,KPK,"23,719","10,823","12,896","23,719","10,823","12,896",0,0,0," 109,943 ","57,864","52,077","109,943","57,864","52,077",0,0,0,21.57%,18.70%,24.76%,21.57%,18.70%,24.76%,0.00%,0.00%,0.00%,81,65,106,67,60,77,1,1,1,2,2,2,2,2,2,1,1,1,59.13,68.7,49.24,59.13,68.7,49.24,-,-,-,"23,719",225
Swat Rani Zai ,Malakand ,,KPK,"31,264","14,346","16,914","25,866","11,200","14,665","5,398","3,146","2,249"," 147,989 ","77,477","70,508","125,204","65,602","59,601","22,785","11,875","10,907",21.13%,18.52%,23.99%,20.66%,17.07%,24.61%,23.69%,26.49%,20.62%,76,61,99,61,51,76,167,222,124,1,1,1,1,1,1,2,2,2,63.57,74.34,52.41,63.67,74.98,52.08,63.08,71.07,54.23,"31,264",290
Baffa Pakhal,Mansehra,,KPK,"32,144","12,269","19,873","31,573","11,986","19,585",571,283,288," 138,637 ","71,402","67,232","133,622","68,758","64,861","5,015","2,644","2,371",23.19%,17.18%,29.56%,23.63%,17.43%,30.20%,11.39%,10.70%,12.15%,105,49,135,80,53,96,15,9,26,3,5,3,4,5,3,4,4,4,60.85,71.49,49.72,60.09,70.92,48.75,79.31,85.05,73.23,"32,144",298
Bala Kot ,Mansehra,,KPK,"16,986","5,852","11,134","16,986","5,852","11,134",0,0,0," 95,248 ","48,570","46,676","95,248","48,570","46,676",0,0,0,17.83%,12.05%,23.85%,17.83%,12.05%,23.85%,0.00%,0.00%,0.00%,46,15,98,40,19,72,1,1,1,2,1,2,1,1,2,1,1,1,67.5,79.54,55.22,67.5,79.54,55.22,-,-,-,"16,986",172
Darband ,Mansehra,,KPK,"3,518","1,051","2,467","3,518","1,051","2,467",0,0,0," 14,967 ","7,531","7,436","14,967","7,531","7,436",0,0,0,23.51%,13.96%,33.18%,23.51%,13.96%,33.18%,0.00%,0.00%,0.00%,109,28,158,78,31,114,1,1,1,4,3,4,3,3,4,1,1,1,50.47,68.78,33.86,50.47,68.78,33.86,-,-,-,"3,518",21
Mansehra,Mansehra,,KPK,"38,069","15,078","22,991","31,931","12,362","19,569","6,138","2,716","3,422"," 214,758 ","111,395","103,362","176,402","91,223","85,178","38,356","20,172","18,184",17.73%,13.54%,22.24%,18.10%,13.55%,22.97%,16.00%,13.46%,18.82%,45,24,89,43,27,68,52,27,98,1,2,1,2,2,1,5,5,5,68.7,78.27,58.73,65.85,76.17,55.12,80.22,86.72,73.42,"38,069",344
Oghi ,Mansehra,,KPK,"20,575","6,820","13,755","20,575","6,820","13,755",0,0,0," 79,280 ","41,182","38,097","79,280","41,182","38,097",0,0,0,25.95%,16.56%,36.11%,25.95%,16.56%,36.11%,0.00%,0.00%,0.00%,128,43,183,93,47,138,1,1,1,5,4,5,5,4,5,1,1,1,52.85,69.46,37.23,52.85,69.46,37.23,-,-,-,"20,575",201
Garhi Kapura ,Mardan,,KPK,"31,500","13,057","18,442","31,500","13,057","18,442",0,0,0," 99,701 ","51,603","48,095","99,701","51,603","48,095",0,0,0,31.59%,25.30%,38.34%,31.59%,25.30%,38.34%,0.00%,0.00%,0.00%,189,170,193,144,132,151,1,1,1,4,5,4,4,5,4,1,1,1,51.7,66.22,36.89,51.7,66.22,36.89,-,-,-,"31,500",295
Katlang ,Mardan,,KPK,"25,558","10,344","15,214","25,558","10,344","15,214",0,0,0," 117,916 ","61,935","55,981","117,916","61,935","55,981",0,0,0,21.67%,16.70%,27.18%,21.67%,16.70%,27.18%,0.00%,0.00%,0.00%,82,45,121,68,48,85,1,1,1,1,1,1,1,1,1,1,1,1,61.47,75.22,47.36,61.47,75.22,47.36,-,-,-,"25,558",244
Mardan ,Mardan,,KPK,"87,814","38,158","49,655","62,836","27,016","35,820","24,978","11,142","13,835"," 315,034 ","164,795","150,238","208,533","109,006","99,527","106,501","55,789","50,711",27.87%,23.15%,33.05%,30.13%,24.78%,35.99%,23.45%,19.97%,27.28%,153,129,154,128,127,137,165,119,183,3,3,3,3,4,3,5,5,5,56.41,68.14,43.83,52.17,65.04,38.39,63.9,73.6,53.47,"87,814",522
Rustam ,Mardan,,KPK,"27,830","10,838","16,992","27,830","10,838","16,992",0,0,0," 87,429 ","44,972","42,457","87,429","44,972","42,457",0,0,0,31.83%,24.10%,40.02%,31.83%,24.10%,40.02%,0.00%,0.00%,0.00%,191,152,204,148,118,156,1,1,1,5,4,5,5,3,5,1,1,1,49.98,65.18,34.68,49.98,65.18,34.68,-,-,-,"27,830",262
Takht Bhai ,Mardan,,KPK,"58,267","25,355","32,912","52,782","22,990","29,792","5,485","2,365","3,120"," 225,758 ","116,759","108,995","199,593","103,427","96,162","26,165","13,332","12,833",25.81%,21.72%,30.20%,26.44%,22.23%,30.98%,20.96%,17.74%,24.31%,126,108,143,100,97,101,131,79,166,2,2,2,2,2,2,4,4,4,56.02,67.14,44.33,55.19,66.46,43.32,62.18,72.26,51.78,"58,267",442
Ambar ,Mohmand,,KPK,"23,757","9,635","14,122","23,757","9,635","14,122",0,0,0," 30,705 ","15,558","15,147","30,705","15,558","15,147",0,0,0,77.37%,61.93%,93.23%,77.37%,61.93%,93.23%,0.00%,0.00%,0.00%,558,498,583,514,446,545,1,1,1,7,7,7,7,7,7,1,1,1,21.71,33.08,9.94,21.71,33.08,9.94,-,-,-,"23,757",226
Halimzai ,Mohmand,,KPK,"12,468","3,719","8,749","12,468","3,719","8,749",0,0,0," 29,960 ","15,042","14,917","29,960","15,042","14,917",0,0,0,41.62%,24.72%,58.65%,41.62%,24.72%,58.65%,0.00%,0.00%,0.00%,254,160,332,203,125,271,1,1,1,1,1,2,1,1,2,1,1,1,45.18,66.71,22.67,45.18,66.71,22.67,-,-,-,"12,468",127
Pandiali ,Mohmand,,KPK,"25,985","9,618","16,367","25,985","9,618","16,367",0,0,0," 40,126 ","20,444","19,681","40,126","20,444","19,681",0,0,0,64.76%,47.05%,83.16%,64.76%,47.05%,83.16%,0.00%,0.00%,0.00%,466,371,537,397,301,493,1,1,1,4,4,5,4,4,5,1,1,1,29.11,45.36,12.02,29.11,45.36,12.02,-,-,-,"25,985",247
Prang Ghar ,Mohmand,,KPK,"6,831","2,832","3,999","6,831","2,832","3,999",0,0,0," 12,543 ","6,268","6,275","12,543","6,268","6,275",0,0,0,54.46%,45.18%,63.73%,54.46%,45.18%,63.73%,0.00%,0.00%,0.00%,364,350,367,301,289,299,1,1,1,3,3,3,3,3,3,1,1,1,35.46,49.29,21.88,35.46,49.29,21.88,-,-,-,"6,831",64
Safi ,Mohmand,,KPK,"27,373","10,130","17,243","27,373","10,130","17,243",0,0,0," 40,274 ","20,614","19,660","40,274","20,614","19,660",0,0,0,67.97%,49.14%,87.71%,67.97%,49.14%,87.71%,0.00%,0.00%,0.00%,486,388,561,432,323,520,1,1,1,5,5,6,5,5,6,1,1,1,26.21,42.81,8.33,26.21,42.81,8.33,-,-,-,"27,373",254
Upper Mohmand ,Mohmand,,KPK,"16,653","6,784","9,869","16,653","6,784","9,869",0,0,0," 23,450 ","11,541","11,909","23,450","11,541","11,909",0,0,0,71.01%,58.78%,82.87%,71.01%,58.78%,82.87%,0.00%,0.00%,0.00%,517,471,535,465,419,491,1,1,1,6,6,4,6,6,4,1,1,1,21.62,32.23,10.93,21.62,32.23,10.93,-,-,-,"16,653",169
Yaka Ghund ,Mohmand,,KPK,"10,015","3,977","6,038","10,015","3,977","6,038",0,0,0," 21,329 ","10,832","10,497","21,329","10,832","10,497",0,0,0,46.95%,36.72%,57.52%,46.95%,36.72%,57.52%,0.00%,0.00%,0.00%,299,263,322,238,216,257,1,1,1,2,2,1,2,2,1,1,1,1,41.38,56.08,26.29,41.38,56.08,26.29,-,-,-,"10,015",101
Data Khel ,North Waziristan,,KPK,"22,718","9,287","13,430","22,718","9,287","13,430",0,0,0," 30,776 ","15,631","15,144","30,776","15,631","15,144",0,0,0,73.82%,59.41%,88.68%,73.82%,59.41%,88.68%,0.00%,0.00%,0.00%,538,475,565,493,422,526,1,1,1,6,6,5,6,6,5,1,1,1,30.63,43.55,17.46,30.63,43.55,17.46,-,-,-,"22,718",219
Dossali ,North Waziristan,,KPK,"13,922","5,607","8,315","13,922","5,607","8,315",0,0,0," 18,902 ","9,576","9,326","18,902","9,576","9,326",0,0,0,73.65%,58.55%,89.16%,73.65%,58.55%,89.16%,0.00%,0.00%,0.00%,537,469,568,492,415,529,1,1,1,5,5,6,5,5,6,1,1,1,33.02,46.68,19.58,33.02,46.68,19.58,-,-,-,"13,922",141
Garyum ,North Waziristan,,KPK,"5,589","2,438","3,150","5,589","2,438","3,150",0,0,0," 6,711 ","3,305","3,405","6,711","3,305","3,405",0,0,0,83.28%,73.77%,92.51%,83.28%,73.77%,92.51%,0.00%,0.00%,0.00%,575,561,581,536,520,542,1,1,1,9,9,9,9,9,9,1,1,1,17.74,26.04,9.57,17.74,26.04,9.57,-,-,-,"5,589",43
Ghulam Khan ,North Waziristan,,KPK,"8,527","3,643","4,884","8,527","3,643","4,884",0,0,0," 10,842 ","5,536","5,306","10,842","5,536","5,306",0,0,0,78.65%,65.81%,92.05%,78.65%,65.81%,92.05%,0.00%,0.00%,0.00%,564,527,580,523,482,541,1,1,1,8,7,8,8,7,8,1,1,1,8.44,13.95,2.89,8.44,13.95,2.89,-,-,-,"8,527",86
Mir Ali ,North Waziristan,,KPK,"45,034","19,332","25,701","45,034","19,332","25,701",0,0,0," 76,344 ","40,075","36,268","76,344","40,075","36,268",0,0,0,58.99%,48.24%,70.86%,58.99%,48.24%,70.86%,0.00%,0.00%,0.00%,405,381,439,332,311,367,1,1,1,1,2,1,1,2,1,1,1,1,38.31,54.2,21.17,38.31,54.2,21.17,-,-,-,"45,034",384
Miran Shah ,North Waziristan,,KPK,"26,622","10,585","16,037","26,318","10,457","15,861",304,128,176," 41,815 ","20,732","21,082","40,661","20,172","20,489","1,154",560,593,63.67%,51.06%,76.07%,64.73%,51.84%,77.41%,26.34%,22.86%,29.68%,453,403,488,396,344,439,199,167,204,3,3,2,3,3,2,9,9,9,36.53,50.43,22.12,35.68,49.57,21.33,64.44,77.59,49.55,"26,622",252
Razmak ,North Waziristan,,KPK,"15,050","7,832","7,217","15,050","7,832","7,217",0,0,0," 19,416 ","11,371","8,044","19,416","11,371","8,044",0,0,0,77.51%,68.88%,89.72%,77.51%,68.88%,89.72%,0.00%,0.00%,0.00%,559,543,571,516,500,531,1,1,1,7,8,7,7,8,7,1,1,1,26.62,36.1,13.91,26.62,36.1,13.91,-,-,-,"15,050",149
Shewa ,North Waziristan,,KPK,"9,459","3,072","6,387","9,459","3,072","6,387",0,0,0," 15,531 ","7,643","7,888","15,531","7,643","7,888",0,0,0,60.90%,40.19%,80.97%,60.90%,40.19%,80.97%,0.00%,0.00%,0.00%,421,301,525,353,245,474,1,1,1,2,1,3,2,1,3,1,1,1,38.36,56.9,21.01,38.36,56.9,21.01,-,-,-,"9,459",94
Spinwam ,North Waziristan,,KPK,"13,279","5,232","8,044","13,279","5,232","8,044",0,0,0," 19,031 ","9,782","9,246","19,031","9,782","9,246",0,0,0,69.78%,53.49%,87.00%,69.78%,53.49%,87.00%,0.00%,0.00%,0.00%,505,434,555,454,365,514,1,1,1,4,4,4,4,4,4,1,1,1,23.47,40.5,6.88,23.47,40.5,6.88,-,-,-,"13,279",130
Jehangira ,Nowshera,,KPK,"35,028","13,247","21,780","30,191","11,250","18,940","4,837","1,997","2,840"," 132,910 ","66,778","66,131","107,509","54,138","53,370","25,401","12,640","12,761",26.35%,19.84%,32.93%,28.08%,20.78%,35.49%,19.04%,15.80%,22.26%,134,81,153,110,82,132,96,48,146,2,2,2,2,2,2,1,1,2,56.92,69.72,44,54.07,67.54,40.47,67.96,78.14,57.65,"35,028",322
Nowshera ,Nowshera,,KPK,"65,963","25,927","40,035","54,931","21,170","33,761","11,032","4,757","6,274"," 242,388 ","122,952","119,435","185,307","94,221","91,086","57,081","28,731","28,349",27.21%,21.09%,33.52%,29.64%,22.47%,37.06%,19.33%,16.56%,22.13%,144,102,161,122,101,145,100,55,143,3,3,3,3,3,3,2,2,1,56.76,67.68,44.94,52.07,63.23,40.46,70.1,79.53,58.74,"65,963",467
Pabbi ,Nowshera,,KPK,"39,223","15,327","23,895","35,530","13,813","21,717","3,693","1,514","2,178"," 157,186 ","79,405","77,779","140,612","71,083","69,528","16,574","8,322","8,251",24.95%,19.30%,30.72%,25.27%,19.43%,31.23%,22.28%,18.19%,26.40%,119,71,145,91,66,104,147,88,178,1,1,1,1,1,1,3,3,3,56.7,68.88,44.22,56.15,68.61,43.34,61.41,71.1,51.55,"39,223",352
Central Orakzai,Orakzai,,KPK,"18,643","6,231","12,412","18,643","6,231","12,412",0,0,0," 33,684 ","18,278","15,406","33,684","18,278","15,406",0,0,0,55.35%,34.09%,80.57%,55.35%,34.09%,80.57%,0.00%,0.00%,0.00%,369,246,522,307,202,469,1,1,1,3,3,3,3,3,3,1,1,1,34.79,55.2,13.03,34.79,55.2,13.03,-,-,-,"18,643",187
Ismailzai ,Orakzai,,KPK,"6,751","2,392","4,359","6,751","2,392","4,359",0,0,0," 13,700 ","7,422","6,278","13,700","7,422","6,278",0,0,0,49.28%,32.23%,69.43%,49.28%,32.23%,69.43%,0.00%,0.00%,0.00%,320,232,424,253,191,345,1,1,1,2,2,2,2,2,2,1,1,1,34.2,56.88,9.7,34.2,56.88,9.7,-,-,-,"6,751",62
Lower Orakzai,Orakzai,,KPK,"18,711","7,126","11,585","18,711","7,126","11,585",0,0,0," 45,587 ","24,156","21,431","45,587","24,156","21,431",0,0,0,41.04%,29.50%,54.06%,41.04%,29.50%,54.06%,0.00%,0.00%,0.00%,248,212,296,201,178,227,1,1,1,1,1,1,1,1,1,1,1,1,41.86,59.03,23.64,41.86,59.03,23.64,-,-,-,"18,711",188
Upper Orakzai,Orakzai,,KPK,"28,902","12,807","16,093","28,902","12,807","16,093",0,0,0," 44,045 ","24,340","19,703","44,045","24,340","19,703",0,0,0,65.62%,52.62%,81.68%,65.62%,52.62%,81.68%,0.00%,0.00%,0.00%,469,424,528,408,351,479,1,1,1,4,4,4,4,4,4,1,1,1,23.98,37.26,8.98,23.98,37.26,8.98,-,-,-,"28,902",271
Badhber Tehsil (Town-II),Peshawar,,KPK,"66,941","24,463","42,478","66,941","24,463","42,478",0,0,0," 148,123 ","75,104","73,019","148,123","75,104","73,019",0,0,0,45.19%,32.57%,58.17%,45.19%,32.57%,58.17%,0.00%,0.00%,0.00%,285,235,328,223,193,263,1,1,1,7,7,7,7,7,7,1,1,1,38.66,54.04,22.85,38.66,54.04,22.85,-,-,-,"66,941",470
Town-I,Peshawar,,KPK,"70,542","26,660","43,879","70,542","26,660","43,879",0,0,0," 203,504 ","102,585","100,916","203,504","102,585","100,916",0,0,0,34.66%,25.99%,43.48%,34.66%,25.99%,43.48%,0.00%,0.00%,0.00%,203,182,224,165,144,172,1,1,1,3,3,3,2,2,2,1,1,1,54.72,67.2,41.88,54.72,67.2,41.88,-,-,-,"70,542",481
Hassan Khel ,Peshawar,,KPK,"6,585","1,849","4,736","6,585","1,849","4,736",0,0,0," 22,199 ","10,947","11,252","22,199","10,947","11,252",0,0,0,29.66%,16.89%,42.09%,29.66%,16.89%,42.09%,0.00%,0.00%,0.00%,169,46,218,123,49,167,1,1,1,2,1,2,1,1,1,1,1,1,55.34,79.64,32.01,55.34,79.64,32.01,-,-,-,"6,585",58
Town-Ii,Peshawar,,KPK,"61,698","21,887","39,806","61,698","21,887","39,806",0,0,0," 165,677 ","82,806","82,866","165,677","82,806","82,866",0,0,0,37.24%,26.43%,48.04%,37.24%,26.43%,48.04%,0.00%,0.00%,0.00%,222,184,254,178,150,199,1,1,1,4,4,5,3,3,5,1,1,1,45.79,60.48,30.71,45.79,60.48,30.71,-,-,-,"61,698",452
Town-Iv,Peshawar,,KPK,"183,026","76,539","106,478","24,580","9,707","14,873","158,446","66,832","91,605"," 628,792 ","318,619","310,162","65,492","33,157","32,335","563,300","285,462","277,827",29.11%,24.02%,34.33%,37.53%,29.28%,46.00%,28.13%,23.41%,32.97%,163,150,169,179,174,188,219,177,230,1,2,1,4,5,3,7,7,7,60.88,69.93,51.2,52.08,63.71,39.72,61.82,70.59,52.43,"183,026",580
Town-Iii,Peshawar,,KPK,"63,285","22,597","40,687","63,285","22,597","40,687",0,0,0," 160,572 ","81,373","79,197","160,572","81,373","79,197",0,0,0,39.41%,27.77%,51.37%,39.41%,27.77%,51.37%,0.00%,0.00%,0.00%,235,198,275,188,161,216,1,1,1,6,5,6,6,4,6,1,1,1,45.45,59.96,30.33,45.45,59.96,30.33,-,-,-,"63,285",457
Shah Alam Tehsil (Town-i),Peshawar,,KPK,"67,851","26,147","41,703","67,851","26,147","41,703",0,0,0," 176,399 ","89,027","87,371","176,399","89,027","87,371",0,0,0,38.46%,29.37%,47.73%,38.46%,29.37%,47.73%,0.00%,0.00%,0.00%,225,210,253,181,175,197,1,1,1,5,6,4,5,6,4,1,1,1,44.96,55.93,33.47,44.96,55.93,33.47,-,-,-,"67,851",474
Alpuri ,Shangla,,KPK,"60,297","22,965","37,332","60,297","22,965","37,332",0,0,0," 128,866 ","68,263","60,602","128,866","68,263","60,602",0,0,0,46.79%,33.64%,61.60%,46.79%,33.64%,61.60%,0.00%,0.00%,0.00%,296,242,359,236,199,284,1,1,1,2,1,2,2,1,2,1,1,1,38.26,55.04,20.53,38.26,55.04,20.53,-,-,-,"60,297",449
Bisham ,Shangla,,KPK,"22,180","9,059","13,121","22,180","9,059","13,121",0,0,0," 43,178 ","22,734","20,444","43,178","22,734","20,444",0,0,0,51.37%,39.85%,64.18%,51.37%,39.85%,64.18%,0.00%,0.00%,0.00%,344,295,370,273,243,302,1,1,1,3,3,3,3,3,3,1,1,1,34.77,52.65,16.27,34.77,52.65,16.27,-,-,-,"22,180",216
Chakisar ,Shangla,,KPK,"28,437","12,614","15,823","28,437","12,614","15,823",0,0,0," 46,240 ","24,524","21,716","46,240","24,524","21,716",0,0,0,61.50%,51.44%,72.86%,61.50%,51.44%,72.86%,0.00%,0.00%,0.00%,430,410,454,358,339,384,1,1,1,4,4,4,4,4,4,1,1,1,26.08,39.33,12.72,26.08,39.33,12.72,-,-,-,"28,437",268
Martoong ,Shangla,,KPK,"25,332","11,910","13,421","25,332","11,910","13,421",0,0,0," 36,028 ","19,270","16,757","36,028","19,270","16,757",0,0,0,70.31%,61.81%,80.09%,70.31%,61.81%,80.09%,0.00%,0.00%,0.00%,508,496,518,459,443,464,1,1,1,5,5,5,5,5,5,1,1,1,24.01,35.62,11.77,24.01,35.62,11.77,-,-,-,"25,332",241
Puran ,Shangla,,KPK,"27,470","12,163","15,307","27,470","12,163","15,307",0,0,0," 59,516 ","31,919","27,597","59,516","31,919","27,597",0,0,0,46.16%,38.11%,55.47%,46.16%,38.11%,55.47%,0.00%,0.00%,0.00%,290,274,308,231,229,240,1,1,1,1,2,1,1,2,1,1,1,1,35.11,48.02,20.87,35.11,48.02,20.87,-,-,-,"27,470",256
Birmal ,South Waziristan,,KPK,"30,165","13,757","16,408","30,165","13,757","16,408",0,0,0," 42,154 ","21,341","20,813","42,154","21,341","20,813",0,0,0,71.56%,64.46%,78.84%,71.56%,64.46%,78.84%,0.00%,0.00%,0.00%,520,522,510,470,473,453,1,1,1,6,6,7,6,6,7,1,1,1,23.06,32.86,12.99,23.06,32.86,12.99,-,-,-,"30,165",279
Ladha ,South Waziristan,,KPK,"16,589","7,775","8,814","16,589","7,775","8,814",0,0,0," 35,515 ","18,705","16,809","35,515","18,705","16,809",0,0,0,46.71%,41.57%,52.44%,46.71%,41.57%,52.44%,0.00%,0.00%,0.00%,294,317,286,234,256,221,1,1,1,1,1,1,1,1,1,1,1,1,47.95,61.38,32.97,47.95,61.38,32.97,-,-,-,"16,589",167
Makin ,South Waziristan,,KPK,"13,329","6,986","6,342","13,329","6,986","6,342",0,0,0," 21,160 ","11,386","9,773","21,160","11,386","9,773",0,0,0,62.99%,61.36%,64.89%,62.99%,61.36%,64.89%,0.00%,0.00%,0.00%,446,490,376,377,440,310,1,1,1,4,5,3,4,5,3,1,1,1,48.71,59.47,36.07,48.71,59.47,36.07,-,-,-,"13,329",132
Sararogha ,South Waziristan,,KPK,"31,356","14,819","16,536","31,356","14,819","16,536",0,0,0," 49,277 ","25,628","23,648","49,277","25,628","23,648",0,0,0,63.63%,57.82%,69.93%,63.63%,57.82%,69.93%,0.00%,0.00%,0.00%,452,463,431,382,406,353,1,1,1,5,4,5,5,4,5,1,1,1,35.07,47.43,21.12,35.07,47.43,21.12,-,-,-,"31,356",293
Serwakai ,South Waziristan,,KPK,"10,616","4,522","6,093","10,616","4,522","6,093",0,0,0," 20,714 ","10,505","10,208","20,714","10,505","10,208",0,0,0,51.25%,43.05%,59.69%,51.25%,43.05%,59.69%,0.00%,0.00%,0.00%,342,331,339,268,269,275,1,1,1,2,2,2,2,2,2,1,1,1,37.67,52.26,22.2,37.67,52.26,22.2,-,-,-,"10,616",106
Shaktoi ,South Waziristan,,KPK,"11,429","5,443","5,986","11,429","5,443","5,986",0,0,0," 15,564 ","8,277","7,287","15,564","8,277","7,287",0,0,0,73.43%,65.76%,82.15%,73.43%,65.76%,82.15%,0.00%,0.00%,0.00%,534,526,531,487,481,483,1,1,1,8,7,8,8,7,8,1,1,1,32.93,44.83,20.04,32.93,44.83,20.04,-,-,-,"11,429",115
Tiarza ,South Waziristan,,KPK,"16,069","7,717","8,352","16,069","7,717","8,352",0,0,0," 22,409 ","11,690","10,719","22,409","11,690","10,719",0,0,0,71.71%,66.01%,77.92%,71.71%,66.01%,77.92%,0.00%,0.00%,0.00%,523,528,504,474,484,448,1,1,1,7,8,6,7,8,6,1,1,1,27.31,35.99,17.48,27.31,35.99,17.48,-,-,-,"16,069",161
Toi Khulla ,South Waziristan,,KPK,"29,721","15,231","14,490","29,721","15,231","14,490",0,0,0," 32,714 ","17,298","15,012","32,714","17,298","15,012",0,0,0,90.85%,88.05%,96.52%,90.85%,88.05%,96.52%,0.00%,0.00%,0.00%,590,589,590,553,552,552,1,1,1,9,9,9,9,9,9,1,1,1,7.81,10.64,4.69,7.81,10.64,4.69,-,-,-,"29,721",277
Wana ,South Waziristan,,KPK,"40,217","17,531","22,684","40,217","17,531","22,684",0,0,0," 64,493 ","31,798","32,693","64,493","31,798","32,693",0,0,0,62.36%,55.13%,69.38%,62.36%,55.13%,69.38%,0.00%,0.00%,0.00%,435,446,423,367,381,344,1,1,1,3,3,4,3,3,4,1,1,1,31.29,42.4,19.92,31.29,42.4,19.92,-,-,-,"40,217",360
Lahor ,Swabi,,KPK,"29,047","11,565","17,482","25,402","9,811","15,591","3,645","1,754","1,891"," 106,574 ","55,692","50,882","92,995","48,590","44,405","13,579","7,102","6,477",27.26%,20.77%,34.36%,27.32%,20.19%,35.11%,26.84%,24.70%,29.20%,146,96,171,104,75,130,205,200,199,4,4,4,4,4,4,3,4,3,54.16,67.26,40.64,53.8,67.18,39.94,56.47,67.82,45.1,"29,047",272
Razar ,Swabi,,KPK,"54,725","20,735","33,988","53,099","20,008","33,089","1,626",727,899," 209,817 ","109,313","100,499","201,851","105,157","96,689","7,966","4,156","3,810",26.08%,18.97%,33.82%,26.31%,19.03%,34.22%,20.41%,17.49%,23.60%,130,68,164,96,62,118,118,74,160,2,2,2,3,3,2,1,1,1,56.61,71.78,40.99,56.16,71.44,40.44,66.73,79.38,53.57,"54,725",428
Swabi ,Swabi,,KPK,"31,325","12,823","18,498","19,144","7,542","11,600","12,181","5,281","6,898"," 143,120 ","74,276","68,837","85,327","44,397","40,928","57,793","29,879","27,909",21.89%,17.26%,26.87%,22.44%,16.99%,28.34%,21.08%,17.67%,24.72%,85,50,118,72,50,91,134,77,169,1,1,1,1,1,1,2,2,2,63.23,75.56,51.35,62.32,75.93,49.3,64.59,75.01,54.43,"31,325",291
Topi ,Swabi,,KPK,"30,492","11,638","18,854","24,076","8,736","15,340","6,416","2,902","3,514"," 115,003 ","59,713","55,290","91,893","47,551","44,342","23,110","12,162","10,948",26.51%,19.49%,34.10%,26.20%,18.37%,34.59%,27.76%,23.86%,32.10%,135,74,168,95,57,123,216,187,223,3,3,3,2,2,3,4,3,4,59.83,74.18,45.41,59.8,75.05,44.66,59.94,70.72,48.57,"30,492",281
